tweetcreatedts,username,text,retweet_count,like
2022-02-21 23:57:09,sonorafmjogja,#SelamatPagiJogja | Tribun Jogja : DIY Belum Masuki Puncak Kasus Covid -19,0,0
2022-02-21 23:56:38,Kabar_Handayani,"Nakes Positif COVID-19, Layanan Rawat Inap Puskesmas Rongkop Tutup Sementara https://t.co/EqRYAoVoWr
#COVID19",0,0
2022-02-21 23:56:25,Amhere4VKTH,V BTS tengah menjalani isolasi karena terkonfirmasi positif COVID-19. #kumparanK-POP https://t.co/JaO7nJbTP3,16,0
2022-02-21 23:56:15,JapenKulim,"Sebanyak 513,393  individu atau 14.5 peratus populasi kanak-kanak berusia lima hingga 11 tahun di Malaysia telah menerima dos pertama vaksin COVID-19 melalui Program Imunisasi COVID-19 Kebangsaan Kanak-Kanak (PICKids) setakat semalam.

#JabatanPenerangan https://t.co/czXBnGlzKJ",90,0
2022-02-21 23:56:13,son_yanz,"KKM masih belum menerima laporan penuh forensik dan patologi berhubung kematian remaja berumur 13 tahun yang didakwa meninggal dunia selepas 18 hari menerima vaksinasi COVID-19.

https://t.co/ZfmwDFiO25 https://t.co/nFdFeNagji",35,0
2022-02-21 23:56:11,_haziq87,"Baru tau yg nak hilang status kontak kasual tidak bergejala cepat selain nak tggu 11 hari tu,pegi kat covid-19 self report buat saliva test kit kendiri kalau yg negatif tu snap pict pastu upload dan update alamat semua dan submit lepastu terus status biru low risk 😂",4,7
2022-02-21 23:56:06,KualuhHulu,Pers Polsek Kualuh Hulu melaksanakan patroli/Ops yustisi gabungan bersama Koramil 01/Ak diwilayah hukum Polsek Kualuh Hulu dalam rangka antisipasi penyebaran virus Covid-19. Senin (21/02) pkl 21.00 wib https://t.co/suvFUNg5ds,0,0
2022-02-21 23:55:41,Riyad22775061,"Jika hasil tes positif Covid-19, masyarakat dapat melakukan konsultasi lewat pelayanan yang disediakan Kemenkes RI dan menjalani isolasi mandiri. https://t.co/kMSOtzUOjQ #CNNIndonesia https://t.co/bOrLoUKaT9",3,0
2022-02-21 23:55:35,detikHealth,Menkes tengah 'merapikan' jual-beli alat tes antigen COVID-19 di lapak-lapak online. Bakal diizinkan tes COVID-19 sendiri di rumah seperti negara lain? https://t.co/tDFv7fJ8hj,0,1
2022-02-21 23:55:35,Riyad22775061,Kemenkes RI juga menyediakan layanan telemedisin dan obat gratis untuk pasien Covid-19. Simak caranya dalam #Infografis: https://t.co/IY8l2JjnVN #CNNIndonesia https://t.co/LFsvtqCQ5w,7,0
2022-02-21 23:55:30,Riyad22775061,"Jika hasil tes negatif Covid-19, pembaca #CNNIndonesia dapat meredakan sakit tenggorokan dengan beberapa pengobatan. Baca selengkapnya di #CNNIndonesia: https://t.co/kMSOtzVm9o https://t.co/aUdRyvYIiU",12,0
2022-02-21 23:55:26,imigrasi_serang,mencegah penyebaran Virus Covid-19 khususnya varian omicron di lingkungan Kantor Imigrasi Kelas I Non TPI Serang.,0,0
2022-02-21 23:55:25,imigrasi_serang,"Halo Sahabat Mido…
Demi mencegah penyebaran Virus Covid-19 khususnya varian omicron, maka pada hari ini Selasa (22/02/2022) dilaksanakan kegiatan ”Penyemprotan Cairan Disinfektan” di seluruh ruangan Kantor Imigrasi Kelas I Non TPI Serang oleh PPNPN. https://t.co/98pkX5Y09S",0,0
2022-02-21 23:55:22,Riyad22775061,Varian HIV yang lebih ganas dan menular ditemukan di Belanda. Temuan ini menjadi kode merah bagi pandemi COVID-19. https://t.co/wkFe1oTQZc,81,0
2022-02-21 23:55:15,mailiagn,"Udah nungguin chat WA Isoman, tapi kok belum dapet juga ya? 🧐

Ini beberapa saluran yg bisa kamu hubungi:

Whatsapp 0811-1050-0567
Email sertifikat@pedulilindungi.id
Hotline COVID-19 di 119 ext 9

Sertakan nama lengkap, NIK &amp; kendalanya ya

Semangat sembuh para pejuang negatif😷 https://t.co/MegLcqT6II",121,0
2022-02-21 23:55:10,Leoherlambang12,"COVID-19 di DKI Jakarta disebut sudah melewati puncak gelombang Omicron. Kasusnya terus melandai, sedangkan tingkat kesembuhan mengalami peningkatan. https://t.co/ah6BgBokyF",7,0
2022-02-21 23:55:05,Riyad22775061,Mall dan Pusat Perbelanjaan Wajib Miliki Satgas Prokes Guna Cegah Covid-19 https://t.co/y2jbWvosLy,10,0
2022-02-21 23:54:43,msayla_,Dos penggalak melindungi anda daripada gejala serius COVID-19. Here’s a nice heatmap of booster dose coverage in Malaysia. #PICKBooster https://t.co/ohKw7rPdtS,325,0
2022-02-21 23:54:41,Mukhsin1924,"Kpd Pak Covid-19
Sy sbg rakyat mrasa resah deng tindak tanduk prilaku anda.
Disini ngana pe nama Covid-19, disana ngana pe nama omicron, di pulau sbrang anda pe nama delta.
Tolonglah, anda jdlah firus yg tau diri. Jgn ikut²an kek teroris yg pake nama samaran, tolonglah.",0,0
2022-02-21 23:53:09,20Denizlitiraf,@ecekesiciii Yoksa Covid-19 mu 😂😂😂,0,0
2022-02-21 23:53:08,WahyudinBagja,"Varian Omicron mendominasi pasien Covid-19, dr. Reisa malah bersyukur: Lebih ringan tapi ada risiko https://t.co/lgnPqDR394",4,0
2022-02-21 23:53:08,KaniaKuswandari,"Varian Omicron mendominasi pasien Covid-19, dr. Reisa malah bersyukur: Lebih ringan tapi ada risiko https://t.co/lgnPqDR394",4,0
2022-02-21 23:53:07,UmarZulkarnaen1,"Varian Omicron mendominasi pasien Covid-19, dr. Reisa malah bersyukur: Lebih ringan tapi ada risiko https://t.co/lgnPqDR394",4,0
2022-02-21 23:52:22,penabangtan,"Telah dikonfirmasi bahwa Konser @BTS_twt di Seoul's Olympic stadium disetujui dengan 15k orang per konser, terbesar sejak Covid 19. Total 45rb orang dapat masuk selama 3 hari

Ini berarti BTS memiliki setidaknya 3 kali lebih banyak per sesinya daripada penyanyi lain

+ https://t.co/osRQcN9TYn",704,0
2022-02-21 23:50:35,DaryaniDina,"Varian Omicron mendominasi pasien Covid-19, dr. Reisa malah bersyukur: Lebih ringan tapi ada risiko https://t.co/lgnPqDR394",4,0
2022-02-21 23:50:13,penrem_051,"Danrem 051/Wkt Brigjen TNI Yustinus Nono Yulianto, S.E., https://t.co/dHKmq95muz., menghadiri rapat koordinasi komite kebijakan penanganan covid-19 dan pemulihan ekonomi daerah Provinsi Jawa Barat. Bertempat Di Gedung Balai Patriot Kota Bekasi, Senin, (21/2/202). https://t.co/js3OXwZTvs",0,1
2022-02-21 23:50:06,HopsIndonesia,"Varian Omicron mendominasi pasien Covid-19, dr. Reisa malah bersyukur: Lebih ringan tapi ada risiko https://t.co/lgnPqDR394",4,0
2022-02-21 23:49:16,aiinaawesome,"Baru je saya buka pakaian PPE, seorang jururawat beritahu saya, “Doktor, ada 1 lagi patient result dia Covid positif.”

Rupanya bayi tu dah terkena jangkitan Covid.

Mak dia kata dia baru tahu ada saudara mara yang datang melawat bayi ni, disahkan positif jangkitan Covid-19.",100,0
2022-02-21 23:49:04,maazlas,"Keberkesanan booster menghadapi gelombang Omicron. 

Booster memberi perlindungan yang terbaik daripada kematian dan gejala serius COVID-19. 

Berhenti membaca cerita konspirasi sampah di FB. Lindungi diri. Dapatkan dos penggalak. https://t.co/9u76qeJD8d",1576,0
2022-02-21 23:48:53,kring_pajak,"@lidia_tohang Hai, Kak.
Sampai saat ini menu e-reporting insentif covid-19 berdasarkan PMK-3/2022 masih dalam proses deploy pada sistem. Silakan dicek secara berkala ya Kak. 

Tks*Rwan",0,0
2022-02-21 23:48:05,T0nyH3R5_5W,"Kesanya Mencegah... padahaL ikut serta mensukseskan....!!!
mencegah itu kasih sembako...
buat apa masker dan Alat SETAN ?

Dukung Polda Malut Pencegahan Covid-19, PT. NHM Serahkan Masker Careion 3 Ply Dan Paket Swab Antigen Lungene https://t.co/Mu55wToAbI lewat @Bhayangkara Utama",3,0
2022-02-21 23:47:33,NNurhamizah,"Kementerian Kesihatan (KKM) melaporkan terdapat tiga negeri merekodkan penggunaan katil di wad Unit rawatan Rapi (ICU) bagi merawat pesakit COVID-19, melebihi 50 peratus. - KP Kesihatan @DGHisham https://t.co/ZKYITJsLDl",49,0
2022-02-21 23:47:15,Indones1a_ku,Pencegahan Penularan Varian Covid-19 Dengan Vaksinasi Serta Disiplin Mematuhi Prokes 5M https://t.co/Uxhi791Ww8,0,0
2022-02-21 23:47:15,sumiatisung2,"COVID-19 di DKI Jakarta disebut sudah melewati puncak gelombang Omicron. Kasusnya terus melandai, sedangkan tingkat kesembuhan mengalami peningkatan. https://t.co/tNhbkF1IN1",10,0
2022-02-21 23:47:12,Biancasari9,Pencegahan Penularan Varian Covid-19 Dengan Vaksinasi Serta Disiplin Mematuhi Prokes 5M https://t.co/c93Nc0sipg,0,0
2022-02-21 23:46:56,hakim_monn,"Baru je saya buka pakaian PPE, seorang jururawat beritahu saya, “Doktor, ada 1 lagi patient result dia Covid positif.”

Rupanya bayi tu dah terkena jangkitan Covid.

Mak dia kata dia baru tahu ada saudara mara yang datang melawat bayi ni, disahkan positif jangkitan Covid-19.",100,0
2022-02-21 23:46:47,polsekkbjeruk,"Jajaran Polsek Kebon Jeruk Dipimpin Kapolsek Kebon Jeruk Kompol H. Slamet R, SH, MM melaksanakan Mobile Vaksinasi Booster Presisi Di DPC LDII Kebon Jeruk, Jakarta Barat, (21/2/2022). Giat Vaksinasi Booster Sebagai Upaya Doble Cover Penanganan Covid-19 Di Wilkum Polsek Kebon Jeruk https://t.co/DjTE6KG3Aa",0,0
2022-02-21 23:46:24,JaPenWPKL,"Walaupun ia jarang berlaku, namun MIS-C ini boleh membawa bahaya dan maut.

Ibu bapa dinasihatkan agar mendapatkan vaksin COVID-19 untuk anak-anak yang berumur 5 hingga 11 tahun dengan segera.

#PICKids
#LindungDiriLindungSemua
#KitaJagaKita
#COVID19
#coronavirus
#KLCeria",8,9
2022-02-21 23:46:23,JaPenWPKL,"Multi System Inflammatory Syndrome in Children (MIS-C) merupakan salah satu komplikasi serius yang boleh berlaku akibat jangkitan COVID-19 dalam kalangan kanak-kanak di mana terjadinya keradangan pelbagai organ dalaman terutamanya jantung, paru-paru, dan otak. https://t.co/wGml5ynV8N",18,24
2022-02-21 23:46:18,JaPenWPKL,"Pesakit COVID-19 kategori 1 dan 2 kebiasaannya hanya perlu kuarantin di rumah. Namun, terdapat juga mereka yang dimasukkan ke hospital atas sebab-sebab tertentu.

#KitaJagaKita
#KitaMestiMenang
#MenangBersama
#COVID19
#coronavirus
#KLCeria
#CMSWPKL https://t.co/G6PhZFXm9r",17,22
2022-02-21 23:46:11,thefikrey,"Peratusan liputan vaksinasi mengikut jenis sekolah. 

Vaksin COVID-19 dapat melindungi anak anda daripada gejala serius COVID-19. Lindungi mereka.

#PICKids https://t.co/seq9xmYiRJ",63,0
2022-02-21 23:45:24,KenCKY91,"Peratusan liputan vaksinasi mengikut jenis sekolah. 

Vaksin COVID-19 dapat melindungi anak anda daripada gejala serius COVID-19. Lindungi mereka.

#PICKids https://t.co/seq9xmYiRJ",63,0
2022-02-21 23:45:08,DGHisham,"Peratusan liputan vaksinasi mengikut jenis sekolah. 

Vaksin COVID-19 dapat melindungi anak anda daripada gejala serius COVID-19. Lindungi mereka.

#PICKids https://t.co/seq9xmYiRJ",63,0
2022-02-21 23:43:39,pembantudokter,FDA Masih Tunda Izin Vaksin Covid-19 Bagi Anak di Bawah Lima Tahun https://t.co/8pIoKcLGFO https://t.co/44Oi3vdfSI,0,0
2022-02-21 23:43:31,riripororo,@KAI121 kak saya mau ngebatalin perjalanan krn sebagian besar penumpang terkonfirmasi covid 19. Saya sudah wa berkali kali tapi tidak ada balasan,0,0
2022-02-21 23:43:05,JM__018,"Mari bersama kita putus rantai penyebaran Covid-19 dengan menerapkan Perilaku Hidup Bersih dan Sehat (PHBS), dengan menerapkan 5 M yaitu : Memakai Masker, Mencuci Tangan, Menjaga Jarak, Menghindari Kerumunan, serta Mengurangi Mobilitas.",1,0
2022-02-21 23:42:52,pelitabangsa45,"3. Pandemi Covid 19 ; ini merupakan penyebab utama dari segala masalah yg terjadi di seluruh dunia.

Arus logistik terganggu, permintaan menurun, produksi berkurang. Disamping itu terjadinya krisis energi di uni eropa, Tiongkok &amp; India. 
Lanjut...",18,0
2022-02-21 23:42:47,RosarlizaWan,"Sejak bermulanya pandemik COVID-19, dana PKS BNM telah dimanfaatkan oleh lebih dari 53,000 PMKS dengan jumlah pembiayaan berjumlah hampir RM20 bilion.",34,0
2022-02-21 23:42:29,pmrkubangpasu,"Dapatkan panduan dan langkah-langkah sekiranya anda mempunyai gejala atau kontak rapat menerusi Risalah Pengurusan Kendiri COVID-19.  

https://t.co/KZOgT415iR

#DBookPenerangan
#JabatanPenerangan https://t.co/49a4c66eGJ",113,0
2022-02-21 23:42:24,darshinivelu48,"Kementerian Kesihatan (KKM) melaporkan terdapat tiga negeri merekodkan penggunaan katil di wad Unit rawatan Rapi (ICU) bagi merawat pesakit COVID-19, melebihi 50 peratus. - KP Kesihatan @DGHisham https://t.co/ZKYITJsLDl",49,0
2022-02-21 23:42:23,pmrkubangpasu,"Sebanyak 513,393  individu atau 14.5 peratus populasi kanak-kanak berusia lima hingga 11 tahun di Malaysia telah menerima dos pertama vaksin COVID-19 melalui Program Imunisasi COVID-19 Kebangsaan Kanak-Kanak (PICKids) setakat semalam.

#JabatanPenerangan https://t.co/czXBnGlzKJ",90,0
2022-02-21 23:41:59,pmrkubangpasu,"Setiap di antara kita memainkan peranan dan tanggungjawab yang sangat penting dalam memutuskan rantaian COVID-19. 

Oleh itu, marilah kita bersama-sama menjalankan tanggungjawab kita.

#MenangBersama
#LindungDiriLindungSemua
#KeluargaMalaysia
#JabatanPenerangan https://t.co/9F8LzIJTGx",111,0
2022-02-21 23:41:13,headlinebogor,"Fadli Zon Ungkap Tes Covid-19 di Negara Paling Kapitalias AS Gratis - https://t.co/a0WqoD1IPQ
#headlinebogor #polymerasechainreaction #antigen #fadlizon #beritaterkini #kabarterkini",0,0
2022-02-21 23:40:55,keeyong_c,Dukacita dimaklumkan saya dan pegawai saya telah disahkan positif Covid-19 dan seluruh warga kerja Pusat Khidmat DUN Ketari kini sedang menjalani kuarantin kendiri. Saya bagi pihak Pusat Khidmat DUN Ketari ingin memohon maaf di atas segala segala kesulitan dan saya memohon kepada https://t.co/vJKKtbaEU5,175,0
2022-02-21 23:40:48,neo_Istinggar,"Katanya, orang yang positif COVID-19 bebas menjalankan aktiviti seperti biasa. Tapi tu di UK la. Kalau di Malaysia ni, keluar berjalan berjemur sekejap je habis la merentan sesetengah pihak siap membodohkan orang lagi. La ni tak tau siapa hat bodoh 🤣",13,0
2022-02-21 23:40:29,Nioramandani,Pentingnya Disiplin Protokol Kesehatan Demi Melindungi Diri Dan Keluarga Sehingga Terhindar Dari Berbagai Varian Covid-19. Nusantara Satukan Indonesia https://t.co/W0Jr62XTLA,0,0
2022-02-21 23:40:25,Polda_Malut,"RAPATKAN BARISAN KUATKAN KEBERSAMAAN CEGAH PENYEBARAN COVID 19 PATUHI PROKES

GELORAKAN VAKSINASI

@divisihumaspolri @dutahumaspoldamalut
@humaspoldamalut @polisiselebriti
#poldamalut #malukuutara https://t.co/qqkm8o4iPg",0,0
2022-02-21 23:40:18,Nioramandani,Pencegahan Penularan Varian Covid-19 Dengan Vaksinasi Serta Disiplin Mematuhi Prokes 5M. Nusantara Satukan Indonesia https://t.co/RFZOof5Xph,0,0
2022-02-21 23:39:54,PolresPalangka,"Cegah terjadinya penyebaran Covid-19, Briptu Bery Pranata menggiatkan Sosialisasi Protokol Kesehatan (Prokes) dan 5M Kepada masyarakat dibilangan Jalan Tumbang Talaken Km. 55, Kelurahan Petuk Bukit Kecamatan Rakumpit Kota Palangka Raya, Senin (21/2/2022) siang. https://t.co/pvAavHxQ5J",0,1
2022-02-21 23:39:11,kompascom,Gibran menegaskan pemberian tempat isolasi bagi nakes yang terpapar Covid-19 supaya mereka tetap terpantau kesehatannya. https://t.co/ZSLkfIm0H4,0,5
2022-02-21 23:39:10,21BeritaTerkini,1.146.524 Orang di Jakarta Telah Disuntik Vaksin Booster Covid-19 : Okezone Megapolitan https://t.co/z0b5oPr9le,0,0
2022-02-21 23:39:07,21BeritaTerkini,"Mulai Minggu Depan, Orang di Inggris yang Terinfeksi Covid-19 Tidak Lagi Diwajibkan Isolasi Diri https://t.co/AUlqzypJpQ",0,0
2022-02-21 23:38:56,AtayaPranaya2,SE New Prokes Perjalanan Luar Negeri Diterbitkan Satgas Covid-19. Nusantara Satukan Indonesia https://t.co/dqNsQSXVun,0,0
2022-02-21 23:38:41,AtayaPranaya2,SE Prokes Perjalanan Luar Negeri Diterbitkan Satgas Covid-19. Nusantara Satukan Indonesia https://t.co/7SskBEjJUB,0,0
2022-02-21 23:38:27,han8xing,"Jika anak kecil anda positif COVID-19, mohon untuk diisolasi di rumah, jangan bawa keluar.

Yang terpenting adalah pantau keadaan anak, jika anak nampak lemah, tak mahu makan, nafas laju, jangan tunggu lama-lama, bawa ke hospital segera.",1787,0
2022-02-21 23:38:25,AtayaPranaya2,SE Terbaru Prokes Perjalanan Luar Negeri Diterbitkan Satgas Covid-19. Nusantara Satukan Indonesia https://t.co/zorfPtna2d,0,0
2022-02-21 23:38:08,v14nzone,"Update Capaian Vaksinasi COVID-19 RI per 21 Februari 2022, Bertambah 203.561 https://t.co/nQ9Lwu5n2B",1,0
2022-02-21 23:37:50,pp_sat,#Kilasgiatpraja Senin (08/11) Petugas Satpol PP Kab. Kampar bersama Tim Yustisi Melaksanakan Operasi Pemberlakuan Jam Malam Penegakkan Protokol Kesehatan Covid-19 diwilayah Bangkinang Kota dengan sasaran Pemilik dan Pengujung Cafe @ditpolpp_linmas https://t.co/rREd28aFrd,0,0
2022-02-21 23:37:32,RezaRisanto,"@yamahaindonesia @YamahaMatSakti @YamahaJateng  @yamahajatengDIY - Di saat musibah wabah pandemi virus covid- 19 corona varian micron meminta, memohon kepada Allah- Mudah- mudahan cepat mereda : Selalu bersyukur, berdoa, tawakal dan ikhtiar kepada Allah Ridho Lillahi Taalla 🙏🙏🙏 https://t.co/CiLzwPq1bl",0,0
2022-02-21 23:37:01,Rocho60462278,Pencegahan Penularan Varian Covid-19 Dengan Vaksinasi Serta Disiplin Mematuhi Prokes 5M. Nusantara Satukan Indonesia https://t.co/yEqhcuBWKt,0,0
2022-02-21 23:36:43,Rocho60462278,Pentingnya Disiplin Protokol Kesehatan Demi Melindungi Diri Dan Keluarga Sehingga Terhindar Dari Berbagai Varian Covid-19. Nusantara Satukan Indonesia https://t.co/hpgjE6R0tL,0,0
2022-02-21 23:36:30,bharianmy,"#BHdunia Sebagai langkah untuk hidup bersama COVID-19

https://t.co/kl8IH5WQ7o",0,5
2022-02-21 23:35:49,gemalorensa,"Knp lama ya buat nentuin wali doank mah..

https://t.co/f9TrY0mhxb",5,6
2022-02-21 23:35:35,timmymalachi,"COVID-19 di DKI Jakarta disebut sudah melewati puncak gelombang Omicron. Kasusnya terus melandai, sedangkan tingkat kesembuhan mengalami peningkatan. https://t.co/ah6BgBokyF",7,0
2022-02-21 23:35:32,Pae466,"Keberkesanan booster menghadapi gelombang Omicron. 

Booster memberi perlindungan yang terbaik daripada kematian dan gejala serius COVID-19. 

Berhenti membaca cerita konspirasi sampah di FB. Lindungi diri. Dapatkan dos penggalak. https://t.co/9u76qeJD8d",1576,0
2022-02-21 23:35:15,ryolandafit,Kapan warna hitam di PeduliLindungi berubah? Pertanyaan ini seringkali muncul setelah masyarakat yang terpapar COVID-19 dinyatakan sembuh. https://t.co/NPH06Q68oX,5,0
2022-02-21 23:35:00,PTJASAMARGA,"Hallo Kawan JM

Patuhi protokol kesehatan untuk memutus penyebaran Covid-19, buat Kawan JM yang beraktivitas dimanapun dan kapanpun jangan lupa untuk 6M ya!

Yuk bersama-sama kita cegah penyebaran Covid-19! https://t.co/vXl7NrzJHs",0,0
2022-02-21 23:34:04,kompascom,Dinas Kesehatan Kota Tangerang melaporkan 754 kasus Covid-19 pada Senin (21/2/2022). https://t.co/yKg8IwRvej,0,1
2022-02-21 23:32:09,PolresPalangka,"Tekan Penyebaran Covid-19, Unit Binmas Polsek Pahandut Polresta Palangka Raya Melaksanakan  imbauan Prokes dan pembagian masker di Diseputar Pasar Besar Jl.Seram dan Jl.Jawa, Jl.Seth Aji dan Pasar Rajawali Jl.Rajawali, Senin (21/02/2022) pagi. https://t.co/8eBObtxQuF",0,2
2022-02-21 23:31:59,detikcom,"COVID-19 di DKI Jakarta disebut sudah melewati puncak gelombang Omicron. Kasusnya terus melandai, sedangkan tingkat kesembuhan mengalami peningkatan. https://t.co/ah6BgBokyF",7,15
2022-02-21 23:31:56,polsekkbjeruk,"Polsek Kebon Jeruk Menyelenggarakan Mobile Vaksinasi Booster di Halaman PD Pasar Jaya Pesing,  Kelurahan Kedoya Utara, Senin (21/2/2022). Giat Vaksin Booster Presisi Merupakan Salah satu Inovasi dan Intervensi Polri Terkait Penanganan Pandemi Covid-19. https://t.co/3UZd49S0Kj",0,0
2022-02-21 23:31:43,Ranger_005,"Tak sedikit perusahaan migas global yg merugi akibat Pandemi Covid-19, seperti Saudi Aramco, Shell, ExxonMobil, Petronas. Tetapi tidak dgn Pertamina. https://t.co/PiyfHXRX7A",0,0
2022-02-21 23:31:42,theAnwariah,"21 Februari - 79% daripada 191 kes kematian ibu hamil dijangkiti COVID-19 tahun lepas, tidak divaksin

Ikuti berita penuh di :
https://t.co/XaDZYptRkk

@Khairykj 
@DGHisham 
@KKMPutrajaya 
@KPWKM 

'Yang sahih di Berita RTM'

#RTM #BeritaRTM #KeluargaMalaysia #COVID19Malaysia https://t.co/H9kDiKgXbb",19,0
2022-02-21 23:31:40,njmdionysus,"Gejala COVID-19 varian Omicron emang mirip banget sama gejala flu. Makanya, sebagian orang kadang gak sadar tertular Omicron karena cuma dianggap kayak flu biasa. 

Nah, selama isoman kamu bisa lakuin: 
✨ 6 PENGOBATAN RUMAHAN UNTUK MERINGANKAN GEJALA OMICRON ✨

Cekidot! https://t.co/hsh7yKfDCM",10394,0
2022-02-21 23:31:39,suka_tx,"Setelah Pangeran Charles dan istrinya Camilla positif, berikutnya Ratu dinyatakan positif Covid-19, sinyal kuat jembatan London sdh mau roboh ! skrg tinggal bagaimana caranya geng kabal ds berusaha menutupi mati2an cerita aslinya",17,0
2022-02-21 23:31:21,DesaJagan,"#sedulursehat berikut nomor hotline pelayanan Covid-19 RSUD Ir. Soekarno Kabupaten Sukoharjo. Silahkan dicatat dan disimpan...

@rsud.irsoekarno
#hotlinecovid19 
#hotlinecovidsukoharjo
#hotlinecovidskh 
#pelayanancovid https://t.co/L3O6h0f6Ld",4,0
2022-02-21 23:30:51,JaPenWPKL,"21 Februari - 79% daripada 191 kes kematian ibu hamil dijangkiti COVID-19 tahun lepas, tidak divaksin

Ikuti berita penuh di :
https://t.co/XaDZYptRkk

@Khairykj 
@DGHisham 
@KKMPutrajaya 
@KPWKM 

'Yang sahih di Berita RTM'

#RTM #BeritaRTM #KeluargaMalaysia #COVID19Malaysia https://t.co/H9kDiKgXbb",19,0
2022-02-21 23:30:32,GED0NG,@null 1.146.524 Orang di Jakarta Telah Disuntik Vaksin Booster Covid-19 Sementara untu  https://t.co/ebJtKn8IeV,0,0
2022-02-21 23:30:19,polsekrendang,Personil Polsek Rendang  melaksanakan Patroli Malam Cegah Gangguan Kamtibmas dan Memberikan Himbauan Prokes  Antisipasi Meluasnya Penyebaran Covid 19. https://t.co/HilZtCTJgF,0,1
2022-02-21 23:30:12,soendoet1980,"Ironi Negeri Kaya Sawit, Rakyat Saling Dorong Berebut Minyak Goreng. Makin Ironi Ketika Hal Ini Tidak Terantisipasi, Dan Kasus Yg Sudah Bbrp Hari Ini Tidak Segera Teratasi. Ada masalah Covid, IKN, JHT,Laporan ke KPK dll, tapi kasihanilah mrk;Rakyat NKRI. https://t.co/M4uk0JMOvO",203,0
2022-02-21 23:30:04,DreamersRadioID,"Debut Besok, Kyujin NMIXX Positif COVID-19 https://t.co/rL3DwhdRCy",0,0
2022-02-21 23:29:11,SutanEKayo,"Benarkan Pemerintah Tunggak RS Covid-19 Rp25 Triliun, Menkes: Akan Segera Kami Bayar
https://t.co/HJt2G9g4TM",4,0
2022-02-21 23:29:01,Paulus_willy,"3. Pandemi Covid 19 ; ini merupakan penyebab utama dari segala masalah yg terjadi di seluruh dunia.

Arus logistik terganggu, permintaan menurun, produksi berkurang. Disamping itu terjadinya krisis energi di uni eropa, Tiongkok &amp; India. 
Lanjut...",18,0
2022-02-21 23:28:00,v14nzone,Mayoritas pasien COVID-19 di Indonesia yang meninggal dunia belum vaksin lengkap dan punya komorbid. Dan inilah komorbiditas yang paling banyak. https://t.co/7oHsbTPfMx,5,0
